LHS	RHS	support	confidence	lift	count	p_value	FDR
{G_MTOR}	{D_Colorectal Neoplasms}	0.00395926901995719	0.9667673716012085	1.1348715236514282	640	1.2061863963752367e-22	6.962985106347957e-22
{G_STAT3}	{D_Colorectal Neoplasms}	0.003254024225777316	0.9740740740740741	1.1434487355142102	526	1.0716455926059866e-21	5.9173474026504476e-21
{G_ABCB1}	{D_Colorectal Neoplasms}	0.002623015725721639	0.9814814814814815	1.1521441631607061	424	2.0406177546836807e-20	1.0798268951867811e-19
{G_COX2}	{D_Colorectal Neoplasms}	0.0044912957945139375	0.9552631578947368	1.121366925832977	726	2.9798551384851123e-20	1.5137664103504371e-19
{G_VIM}	{D_Colorectal Neoplasms}	0.002981824480655259	0.9737373737373738	1.143053488803006	482	7.223495859884083e-20	3.528399900789533e-19
{G_MMP9}	{D_Colorectal Neoplasms}	0.004107741608205585	0.9581529581529582	1.1247592124558328	664	9.117205942137965e-20	4.2884635357463755e-19
{G_IFNG}	{D_Colorectal Neoplasms}	0.0029880108384989423	0.971830985915493	1.140815613057877	483	3.3750095503984865e-19	1.5308079032164564e-18
{G_CASP8}	{D_Colorectal Neoplasms}	0.0028952154708436957	0.972972972972973	1.1421561719451365	468	4.725086752709452e-19	2.0692621296348294e-18
{G_CD44}	{D_Colorectal Neoplasms}	0.0033344468777451964	0.9659498207885304	1.1339118148696663	539	5.420678132214042e-19	2.2947537426372774e-18
{G_TGFB1}	{D_Colorectal Neoplasms}	0.003761305568959331	0.9589905362776026	1.1257424309532857	608	1.5806426996713154e-18	6.475536221234099e-18
{G_INS}	{D_Colorectal Neoplasms}	0.002858097323781597	0.9705882352941176	1.139356769562918	462	5.395018060252359e-18	2.141147792662655e-17
{G_NRAS}	{D_Colorectal Neoplasms}	0.003427242245400443	0.9618055555555556	1.1290469334747015	554	5.6454973869874356e-18	2.172661115598195e-17
{G_PTEN}	{D_Colorectal Neoplasms}	0.0032849560149957316	0.9637023593466425	1.1312735586915756	531	6.1774116611847946e-18	2.307444944030791e-17
{G_BCL2L1}	{D_Colorectal Neoplasms}	0.0023570023384432647	0.9794344473007712	1.1497411850835897	381	8.894820388608132e-18	3.1421752828276823e-17
{G_MAPK14}	{D_Colorectal Neoplasms}	0.002270393328631701	0.9812834224598931	1.1519116650952919	367	8.906953557621777e-18	3.1421752828276823e-17
{G_MAP2K7}	{D_Colorectal Neoplasms}	0.0028952154708436957	0.968944099378882	1.1374267468025065	468	1.1887884857877172e-17	4.080436153920002e-17
{G_GSK3B}	{D_Colorectal Neoplasms}	0.0019548890786038626	0.9844236760124611	1.1555979545156227	316	2.0543845417012644e-16	6.865969389370015e-16
{G_MAPK3}	{D_Colorectal Neoplasms}	0.0032849560149957316	0.9584837545126353	1.1251475285903578	531	3.355064154037838e-16	1.0925465322123216e-15
{G_LXN}	{D_Colorectal Neoplasms}	0.001905398215854398	0.9840255591054313	1.1551306119530331	308	6.556339304510998e-16	2.0816377291822416e-15
{G_TNFSF10}	{D_Colorectal Neoplasms}	0.002035311730571743	0.9791666666666666	1.1494268420211762	329	1.8982498980851767e-15	5.87994480626384e-15
{G_MAPK8}	{D_Colorectal Neoplasms}	0.0022456478972569687	0.9731903485254692	1.142411345352631	363	3.8758046046035425e-15	1.1719694875824997e-14
{G_HNF4A}	{D_Colorectal Neoplasms}	0.0018249755638865175	0.9833333333333333	1.15431802007233	295	4.291331254727329e-15	1.2674396961636528e-14
{G_ANXA5}	{D_Colorectal Neoplasms}	0.002752929240438984	0.9611231101511879	1.1282458225987926	445	1.5932002323034748e-14	4.598555215966848e-14
{G_PPARG}	{D_Colorectal Neoplasms}	0.001794043774668102	0.9797297297297297	1.1500878120280889	290	6.594538694480699e-14	1.8611253648867752e-13
{G_SNAI1}	{D_Colorectal Neoplasms}	0.0019487027207601797	0.9752321981424149	1.1448082373598698	315	8.190259378140154e-14	2.2612237848343468e-13
{G_IL6}	{D_Colorectal Neoplasms}	0.004621209309231283	0.9360902255639098	1.098860151642705	747	9.099226368903996e-14	2.458727125214484e-13
{G_IL1B}	{D_Colorectal Neoplasms}	0.0017321801962312709	0.9790209790209791	1.1492558218095974	280	2.6807119308283816e-13	7.092716983650093e-13
{G_CDKN1A}	{D_Colorectal Neoplasms}	0.0029014018286873788	0.9532520325203252	1.1190061004835115	469	4.575242482753414e-13	1.185828153693232e-12
{G_CXCL8}	{D_Colorectal Neoplasms}	0.002641574799252688	0.9573991031390134	1.1238742750723225	427	4.980744083799442e-13	1.2651089972850582e-12
{G_RBBP4}	{D_Colorectal Neoplasms}	0.0023013251178501167	0.9637305699481865	1.1313066746295957	372	5.495723003139267e-13	1.3685427870562488e-12
{G_CDKN2A}	{D_Colorectal Neoplasms}	0.0028828427551563294	0.9529652351738241	1.118669434030791	466	6.431244575493999e-13	1.5707078097841114e-12
{G_IGF2}	{D_Colorectal Neoplasms}	0.001459980451109214	0.9833333333333333	1.15431802007233	236	2.5904133211790213e-12	6.207216826221429e-12
{G_H3P16}	{D_Colorectal Neoplasms}	0.003816982789552479	0.9376899696048632	1.100738063548443	617	4.763310753905181e-12	1.120260121751774e-11
{G_IGF1}	{D_Colorectal Neoplasms}	0.0024497977060985118	0.9565217391304348	1.122844352612731	396	5.558806013275549e-12	1.2835788430654449e-11
{G_MMP2}	{D_Colorectal Neoplasms}	0.0031797879316531187	0.9448529411764706	1.1091465521881436	514	5.86748234787604e-12	1.3306611753218876e-11
{G_IGF1R}	{D_Colorectal Neoplasms}	0.0014970985981713127	0.979757085020243	1.1501199239312587	242	8.187715352011122e-12	1.824280438079671e-11
{G_APC}	{D_Colorectal Neoplasms}	0.002462170421785878	0.9544364508393285	1.1203964686959818	398	1.4596116006278534e-11	3.196046091029955e-11
{G_MUTYH}	{D_Colorectal Neoplasms}	0.0022394615394132856	0.9576719576719577	1.1241945742969695	362	2.58332335265828e-11	5.560712979450874e-11
{G_VDR}	{D_Colorectal Neoplasms}	0.0014352350197344816	0.9789029535864979	1.1491172737900905	232	3.32851725502958e-11	7.045361523145944e-11
{G_TNFRSF10B}	{D_Colorectal Neoplasms}	0.001231085210892939	0.9851485148514851	1.1564488303124367	199	6.580492155933314e-11	1.3700368914811982e-10
{G_CDK1}	{D_Colorectal Neoplasms}	0.0013115078628608194	0.9814814814814815	1.1521441631607061	212	8.078777742568468e-11	1.6548464085583797e-10
{G_TCF4}	{D_Colorectal Neoplasms}	0.0012991351471734532	0.9813084112149533	1.151940998963358	210	1.0739004729746047e-10	2.1648469852027745e-10
{G_IL2}	{D_Colorectal Neoplasms}	0.002035311730571743	0.9563953488372093	1.122695985229986	329	3.6691406272637595e-10	7.280950932226523e-10
{G_SRC}	{D_Colorectal Neoplasms}	0.0019425163629164966	0.9573170731707317	1.1237779815090274	314	6.282804764909722e-10	1.227563392528515e-9
{G_CDK4}	{D_Colorectal Neoplasms}	0.0013795577991413336	0.9737991266375546	1.1431259794661963	223	6.800424644639129e-10	1.3037008256044802e-9
{G_IL10}	{D_Colorectal Neoplasms}	0.0018064164903554682	0.9605263157894737	1.1275452560028558	292	6.877791757125999e-10	1.3037008256044802e-9
{G_ZEB1}	{D_Colorectal Neoplasms}	0.0012125261373618895	0.98	1.1504050776314068	196	7.798884202308239e-10	1.456556314254627e-9
{G_ERBB2}	{D_Colorectal Neoplasms}	0.004608836593543917	0.9220297029702971	1.082354746963273	745	8.29681450234817e-10	1.5270948431858224e-9
{G_KDR}	{D_Colorectal Neoplasms}	0.002090988951164891	0.952112676056338	1.1176686296045286	338	1.3535130273385977e-9	2.455659349600027e-9
{G_RELA}	{D_Colorectal Neoplasms}	0.001565148534451827	0.9656488549618321	1.1335585162826995	253	1.418029796454357e-9	2.5364758330944133e-9
{G_CDH2}	{D_Colorectal Neoplasms}	0.0014166759462034323	0.9703389830508474	1.1390641766585619	229	1.5554905459394464e-9	2.7437124907543014e-9
{G_EGF}	{D_Colorectal Neoplasms}	0.0011630352746124246	0.9791666666666666	1.1494268420211762	188	2.4013922909803134e-9	4.177764670609587e-9
{G_SMAD4}	{D_Colorectal Neoplasms}	0.002103361666852257	0.94972067039106145	1.114860695458552	340	3.260527716121639e-9	5.595770539830381e-9
{G_PROM1}	{D_Colorectal Neoplasms}	0.0025611521472848077	0.9409090909090909	1.104516934460581	414	3.811110522061287e-9	6.45348048402378e-9
{G_IGFBP3}	{D_Colorectal Neoplasms}	0.0010393081177387624	0.9824561403508771	1.1532882983773503	168	5.859258896871147e-9	9.791129998718889e-9
{G_PTGDR}	{D_Colorectal Neoplasms}	0.0010331217598950793	0.9823529411764705	1.1531671546485291	167	6.762733610280214e-9	1.1154119071501132e-8
{G_IFNA1}	{D_Colorectal Neoplasms}	0.0011135444118629597	0.9782608695652174	1.1483635424448384	180	7.345185277693356e-9	1.195946833675713e-8
{G_MIR21}	{D_Colorectal Neoplasms}	0.001682689333481806	0.9577464788732394	1.1242820534483426	272	7.580651530567176e-9	1.2186617017494066e-8
{G_HIF1A}	{D_Colorectal Neoplasms}	0.0031055516375289214	0.9313543599257885	1.0933008007477307	502	9.024066194395315e-9	1.4325705083602563e-8
{G_TGFA}	{D_Colorectal Neoplasms}	0.00101456268636403	0.9820359281437125	1.1527950185234679	164	1.039207633559563e-8	1.609504505634933e-8
{G_JUN}	{D_Colorectal Neoplasms}	0.00101456268636403	0.9820359281437125	1.1527950185234679	164	1.039207633559563e-8	1.609504505634933e-8
{G_COL11A2}	{D_Colorectal Neoplasms}	0.0011382898432376921	0.9735449735449735	1.1428276335394605	184	2.438616326096469e-8	3.7313767881235126e-8
{G_CDK2}	{D_Colorectal Neoplasms}	0.0012063397795182063	0.9701492537313433	1.1388414566865892	195	2.8252740178950912e-8	4.271545241341388e-8
{G_COX1}	{D_Colorectal Neoplasms}	0.0011939670638308401	0.9698492462311558	1.1384892830625655	193	3.672411998939987e-8	5.487015574886804e-8
{G_LGR5}	{D_Colorectal Neoplasms}	0.0013300669363918687	0.9641255605381166	1.1317703472625262	215	4.121578419010857e-8	6.086516967609057e-8
{G_MMP7}	{D_Colorectal Neoplasms}	0.0016146393972012918	0.9525547445255474	1.1181875661470178	261	8.906826486703128e-8	1.3001919124267785e-7
{G_FN1}	{D_Colorectal Neoplasms}	0.001342439652079235	0.9601769911504425	1.1271351898411384	217	1.233523343116185e-7	1.7801984610881305e-7
{G_ZHX2}	{D_Colorectal Neoplasms}	0.0015898939658265593	0.9518518518518518	1.1173624525747226	257	1.4000043328303957e-7	1.997758991791688e-7
{G_EPCAM}	{D_Colorectal Neoplasms}	0.0017074347648565384	0.9484536082474226	1.1133733130874126	276	1.4909031400146015e-7	2.103829986465049e-7
{G_MTHFR}	{D_Colorectal Neoplasms}	0.0018682800687922993	0.94375	1.1078518285863677	302	1.9297160687501676e-7	2.693120227816168e-7
{G_IL4}	{D_Colorectal Neoplasms}	0.0010393081177387624	0.9710982658959537	1.1399554856793461	168	2.0653648787013946e-7	2.8511015173377946e-7
{G_UGT1A1}	{D_Colorectal Neoplasms}	0.0015527758187644607	0.9507575757575758	1.1160779007633084	251	2.7444064663409493e-7	3.7477378626376403e-7
{G_TYMS}	{D_Colorectal Neoplasms}	0.004509854868044987	0.9101123595505618	1.0683651833082317	729	5.060704016706059e-7	6.837334150230526e-7
{G_CD4}	{D_Colorectal Neoplasms}	0.002196157034507504	0.9342105263157895	1.0966536051534626	355	5.114751913571055e-7	6.837615716037095e-7
{G_TERT}	{D_Colorectal Neoplasms}	0.0010331217598950793	0.9653179190751445	1.1331700363598263	167	1.0485666921809109e-6	1.3871663531976635e-6
{G_MLH1}	{D_Colorectal Neoplasms}	0.012879997030548235	0.8852040816326531	1.0391257859696434	2082	1.2902388930354372e-6	1.6892818496443354e-6
{G_CCNB1}	{D_Colorectal Neoplasms}	0.0012001534216745232	0.9556650246305419	1.1218386702548153	194	1.9116048398954882e-6	2.4772838231298674e-6
{G_MGMT}	{D_Colorectal Neoplasms}	0.0013857441569850167	0.9451476793248945	1.109492540211122	224	5.207046327299663e-6	6.679746298657143e-6
{G_DPYD}	{D_Colorectal Neoplasms}	0.0020043799413533275	0.9283667621776505	1.0897937113402019	324	8.719774875714451e-6	1.1074114092157354e-5
{G_IFI27}	{D_Colorectal Neoplasms}	0.0012743897157987208	0.9406392694063926	1.1042001956577663	206	3.388289764229485e-5	4.260522772843016e-5
{G_PTK2}	{D_Colorectal Neoplasms}	0.0012187124952055728	0.9380952380952381	1.10121380123123	197	8.380034441128208e-5	1.0433964451208651e-4
{G_CDX2}	{D_Colorectal Neoplasms}	0.0015280303873897283	0.9285714285714286	1.0900339656857356	247	9.574566613018289e-5	1.1805533590808957e-4
{G_FOXP3}	{D_Colorectal Neoplasms}	0.001453794093265531	0.9288537549407114	1.090365383735503	235	1.3292088182500329e-4	1.6231684607476363e-4
{G_CEACAM3}	{D_Colorectal Neoplasms}	0.016616557168132835	0.8746336698143927	1.0267173620631314	2686	1.4061548919171738e-4	1.6924358178513235e-4
{G_CD8A}	{D_Colorectal Neoplasms}	0.0033344468777451964	0.9028475711892797	1.059837173697276	539	1.4125842259231518e-4	1.6924358178513235e-4
{G_CRP}	{D_Colorectal Neoplasms}	0.003185974289496802	0.9019264448336253	1.058755879374128	515	2.529596992989236e-4	3.002418860837691e-4
{G_TIMP1}	{D_Colorectal Neoplasms}	0.0012434579265803052	0.9305555555555556	1.0923630980910468	201	2.9748158292062095e-4	3.4981630584184125e-4
{G_MDM2}	{D_Colorectal Neoplasms}	0.0010269354020513962	0.9378531073446328	1.1009295681241413	166	3.156980582727392e-4	3.6783168257465944e-4
{G_PCNA}	{D_Colorectal Neoplasms}	0.0017259938383875878	0.9177631578947368	1.0773463233725917	279	3.7322816736540097e-4	4.3090888414005384e-4
{G_MSH6}	{D_Colorectal Neoplasms}	0.0054068767553790385	0.8891149542217701	1.043716691770143	874	3.820342192660699e-4	4.3710221483595385e-4
{G_FLT1}	{D_Colorectal Neoplasms}	0.0010393081177387624	0.9333333333333333	1.0956238834584828	168	6.042184428734381e-4	6.851405557582736e-4
{G_CD274}	{D_Colorectal Neoplasms}	0.0019177709315417641	0.9117647058823529	1.0703048441348624	310	6.456806323757454e-4	7.256764629355723e-4
{G_PMS2}	{D_Colorectal Neoplasms}	0.003761305568959331	0.8941176470588236	1.049589266506446	608	7.495784464142979e-4	8.350566903036476e-4
{G_ERCC1}	{D_Colorectal Neoplasms}	0.0011382898432376921	0.9246231155778895	1.0853991092409951	184	0.0013521353860843017	0.0014932277741974464
{G_PDCD1}	{D_Colorectal Neoplasms}	0.0011135444118629597	0.9230769230769231	1.0835840605633347	180	0.00190319053696177	0.002083665501673662
{G_KRT20}	{D_Colorectal Neoplasms}	0.002363188696286948	0.8988235294117647	1.05511342054069	382	0.0027646594395128042	0.003000955118103642
{G_CXCR4}	{D_Colorectal Neoplasms}	0.001070239906957178	0.9202127659574468	1.0802218759782536	173	0.003412356649524575	0.003672621139742551
{G_ESR1}	{D_Colorectal Neoplasms}	0.0010826126226445442	0.9114583333333334	1.0699451986899247	175	0.00961435604186857	0.010260699305187465
{G_MET}	{D_Colorectal Neoplasms}	0.0010331217598950793	0.8978494623655914	1.0539699800551074	167	0.04327031415072876	0.045794415809521274
{G_MSH2}	{D_Colorectal Neoplasms}	0.010417826608762358	0.8631471040492056	1.0132334808582149	1684	0.08299792225822826	0.0871135217090495
{G_PSG2}	{D_Colorectal Neoplasms}	0.0011939670638308401	0.8772727272727273	1.0298153060429571	193	0.16717381675353715	0.17402520268605914
{G_COX8A}	{D_Colorectal Neoplasms}	0.003773678284646697	0.8519553072625698	1.0000956238672305	610	0.5234459982425438	0.5404686323317321
{G_TENM1}	{D_Colorectal Neoplasms}	0.009526991079271989	0.8365019011406845	0.9819551372658863	1540	0.9700611847409203	0.9935304069523941
{G_BRCA1}	{D_Colorectal Neoplasms}	0.0016146393972012918	0.7981651376146789	0.9369522725513237	261	0.9966104934473154	1
{G_BRCA2}	{D_Colorectal Neoplasms}	0.0012063397795182063	0.7558139534883721	0.8872369488139707	195	0.9999825102351327	1
{G_DCC}	{D_Colorectal Neoplasms}	0.0013609987256102843	0.6606606606606606	0.7755381414442285	220	1	1
